"country","outcome_f","N","Unadjusted","Adjusted"
"Bangladesh","Hookworm","7,187","NA (NA, NA)","NA (NA, NA)"
"Bangladesh","T. trichiura","7,187","NA (NA, NA)","NA (NA, NA)"
"Kenya","A. lumbricoides","9,039","NA (NA, NA)","NA (NA, NA)"
"Kenya",NA,"9,039","NA (NA, NA)","NA (NA, NA)"
