"country","outcome_f","N","Unadjusted","Adjusted"
"Bangladesh","A. lumbricoides","  355","0.06 (-0.03, 0.16)","0.10 (0.07, 0.13)"
"Bangladesh","A. ceylanicum","  106","-0.00 (-0.20, 0.19)","0.06 (-0.13, 0.25)"
"Bangladesh","N. americanus","  515","-0.04 (-0.11, 0.04)","-0.03 (-0.11, 0.04)"
"Bangladesh","T. trichiura","  341","0.00 (-0.12, 0.12)","0.02 (-0.08, 0.11)"
"Bangladesh","G. duodenalis","2,195","0.01 (-0.02, 0.04)","-0.00 (-0.03, 0.02)"
"Kenya","A. lumbricoides","  712","-0.00 (-0.12, 0.11)","-0.01 (-0.12, 0.10)"
"Kenya","N. americanus","  206","0.07 (-0.14, 0.28)","0.12 (-0.11, 0.35)"
"Kenya","T. trichiura","   34","0.05 (-0.11, 0.20)","0.04 (-0.11, 0.19)"
