"country","outcome_f","N","Unadjusted","Adjusted"
"Bangladesh","Hookworm","7,161","0.26 (0.14, 0.48)","0.76 (0.55, 1.04)"
"Bangladesh","T. trichiura","7,136","0.31 (0.19, 0.50)","0.23 (0.14, 0.37)"
"Kenya","A. lumbricoides","8,283","0.55 (0.38, 0.79)","0.64 (0.46, 0.90)"
"Kenya","Any STH","8,533","0.52 (0.37, 0.74)","0.66 (0.47, 0.91)"
