"n0","n1","n0adj","n1adj","p0","p1","power","MDEdiff","MDEratio","arms","deff","country","label"
2924,174,1815,108,0.236662106703146,0.126662106703159,0.800258493163091,"-0.11","0.54","All",1.61097430468079,"Kenya","Ascaris qPCR"
980,62,608,38,0.274489795918367,0.0883897959183828,0.800422062242229,"-0.19","0.32","Control only",1.61097430468079,"Kenya","Ascaris qPCR"
8568,471,5064,278,0.203898225957049,0.137498225957057,0.800549193337614,"-0.07","0.67","All",1.6920811986824,"Kenya","Ascaris KK"
2222,111,1313,66,0.229072907290729,0.0943729072907396,0.800178487134154,"-0.13","0.41","Control only",1.6920811986824,"Kenya","Ascaris KK"
8436,456,6923,374,0.391062114746325,0.319462114746333,0.800324988490938,"-0.07","0.82","All",1.21861000130327,"Kenya","Giardia qPCR"
2197,108,1803,89,0.388256713700501,0.245256713700516,0.800238551131081,"-0.14","0.63","Control only",1.21861000130327,"Kenya","Giardia qPCR"
2920,173,1718,102,0.292123287671233,0.169323287671246,0.800156741727291,"-0.12","0.58","All",1.69949426489782,"Kenya","Any STH qPCR"
977,62,575,36,0.318321392016377,0.115321392016398,0.800393084933455,"-0.20","0.36","Control only",1.69949426489782,"Kenya","Any STH qPCR"
